Company Name,Company Ticker,Name,Age,Position,Appointed,
Catalent Inc,CTLT.A,Christa Kreuzburg,60,Independent Director,2018,
Catalent Inc,CTLT.A,Donald E. Morel,61,Independent Director,2015,
Catalent Inc,CTLT.A,Gregory T. Lucier,55,Independent Director,2015,
Catalent Inc,CTLT.A,J. Martin Carroll,69,Independent Director,2015,
Catalent Inc,CTLT.A,Jack L. Stahl,66,Lead Independent Director,2016,
Catalent Inc,CTLT.A,Jim Walter,,Vice President of Operations for its Oral and Specialty Delivery business,2020,
Catalent Inc,CTLT.A,John J. Greisch,64,Independent Director,2018,
Catalent Inc,CTLT.A,John R. Chiminski,55,"Chairman of the Board, Chief Executive Officer",2019,
Catalent Inc,CTLT.A,Jonathan Arnold,53,President - Oral Drug Delivery Solutions,2017,
Catalent Inc,CTLT.A,Karen A. Flynn,56,President - Biologics and Chief Commercial Officer,2020,
Catalent Inc,CTLT.A,Madhavan Balachandran,68,Independent Director,2017,
Catalent Inc,CTLT.A,Mike Grippo,,Senior Vice President - Strategy and Corporate Development,2019,
Catalent Inc,CTLT.A,Peter Buzy,59,President - Gene Therapy,2019,
Catalent Inc,CTLT.A,Peter Zippelius,41,Independent Director,2019,
Catalent Inc,CTLT.A,Ricardo Pravda,48,"Chief Human Resource Officer, Senior Vice President",2019,
Catalent Inc,CTLT.A,Rolf A. Classon,74,Independent Director,2014,
Catalent Inc,CTLT.A,Rosemary A. Crane,59,Independent Director,2018,
Catalent Inc,CTLT.A,Scott Gunther,52,Senior Vice President - Quality & Regulatory Affairs,2017,
Catalent Inc,CTLT.A,Steven L. Fasman,57,"Senior Vice President, General Counsel and Corporate Secretary",2014,
Catalent Inc,CTLT.A,Wetteny Joseph,47,"Chief Financial Officer, Senior Vice President",2018,
Catalyst Pharmaceuticals Inc,CPRX.O,Alicia Grande,48,"Chief Financial Officer, Vice President, Treasurer",2011,
Catalyst Pharmaceuticals Inc,CPRX.O,Brian D Elsbernd,55,"Chief Compliance Officer, Chief Legal Officer",2019,
Catalyst Pharmaceuticals Inc,CPRX.O,Charles B. O'Keeffe,79,Lead Independent Director,2011,
Catalyst Pharmaceuticals Inc,CPRX.O,Daniel J. Brennan,51,Chief Commercial Officer,2018,
Catalyst Pharmaceuticals Inc,CPRX.O,David Ailinger,,Vice President - Business Development,2020,
Catalyst Pharmaceuticals Inc,CPRX.O,David J. Caponera,59,Vice President - Patient Engagement and Access Support,2014,
Catalyst Pharmaceuticals Inc,CPRX.O,David S. Tierney,55,Independent Director,2002,
Catalyst Pharmaceuticals Inc,CPRX.O,Donald A. Denkhaus,73,Independent Director,2015,
Catalyst Pharmaceuticals Inc,CPRX.O,Gary Ingenito,56,Chief Medical Officer and Head of Regulatory Affairs,2016,
Catalyst Pharmaceuticals Inc,CPRX.O,Patrick James McEnany,71,"Chairman of the Board, President, Chief Executive Officer",2006,
Catalyst Pharmaceuticals Inc,CPRX.O,Philip H. Coelho,75,Independent Director,2002,
Catalyst Pharmaceuticals Inc,CPRX.O,Richard J. Daly,66,Independent Director,2015,
Catalyst Pharmaceuticals Inc,CPRX.O,Steven R. Miller,57,"Chief Operating Officer, Chief Scientific Officer",2011,
"Catasys, Inc.",CATS.O,Carol Murdock,,Chief Commercial Officer,2019,
"Catasys, Inc.",CATS.O,Christopher Shirley,43,Chief Financial Officer,2017,
"Catasys, Inc.",CATS.O,Curtis Medeiros,,"President, Chief Operating Officer",2019,
"Catasys, Inc.",CATS.O,Daniel Prewitt,,Senior Vice President - Sales,2019,
"Catasys, Inc.",CATS.O,Diane Seloff,55,Independent Director,2018,
"Catasys, Inc.",CATS.O,Edward J. Zecchini,58,Independent Director,2018,
"Catasys, Inc.",CATS.O,Gustavo Giraldo,,Director,2019,
"Catasys, Inc.",CATS.O,Jeremiah Stone,,Chief Technology Officer,2018,
"Catasys, Inc.",CATS.O,Michael Edward Sherman,59,Independent Director,2017,
"Catasys, Inc.",CATS.O,Richard A. Berman,74,Independent Director,2017,
"Catasys, Inc.",CATS.O,Richard J. Berman,76,Independent Director,2017,
"Catasys, Inc.",CATS.O,Robert Rebak,,Director,2019,
"Catasys, Inc.",CATS.O,Terren S. Peizer,59,"Chairman of the Board, Chief Executive Officer, Director",2003,
Catchmark Timber Trust Inc,CTT,Brian M. Davis,50,"President, Chief Executive Officer, Director",2020,
Catchmark Timber Trust Inc,CTT,Donald S. Moss,83,Independent Director,2006,
Catchmark Timber Trust Inc,CTT,Douglas D. Rubenstein,56,Independent Director,2013,
Catchmark Timber Trust Inc,CTT,Glen F. Smith,,"Chief Accounting Officer, Vice President, Assistant Secretary",2018,
Catchmark Timber Trust Inc,CTT,Lesley Solomon,47,"General Counsel, Secretary",2018,
Catchmark Timber Trust Inc,CTT,Mary E. Mcbride,63,Independent Director,2018,
Catchmark Timber Trust Inc,CTT,Paul S. Fisher,63,Independent Director,2016,
Catchmark Timber Trust Inc,CTT,Todd P. Reitz,48,"Senior Vice President, Chief Resources Officer",2020,
Catchmark Timber Trust Inc,CTT,Ursula A. Godoy-Arbelaez,39,"Chief Financial Officer, Senior Vice President, Treasurer",2020,
Catchmark Timber Trust Inc,CTT,Willis J. Potts,72,Independent Chairman of the Board,2013,
Caterpillar Inc.,CAT,Andrew Robert John Bonfield,56,Chief Financial Officer,2018,
Caterpillar Inc.,CAT,Bob De Lange,49,Group President of Customer and Dealer Support,2018,
Caterpillar Inc.,CAT,Cheryl H. Johnson,58,Chief Human Resource Officer,2017,
Caterpillar Inc.,CAT,Daniel M. Dickinson,57,Independent Director,2006,
Caterpillar Inc.,CAT,David L. Calhoun,62,Presiding Director,2018,
Caterpillar Inc.,CAT,Debra L. Reed-Klages,63,Independent Director,2015,
Caterpillar Inc.,CAT,Denise C. Johnson,52,Group President,2016,
Caterpillar Inc.,CAT,Donald James Umpleby,61,"Chairman of the Board, Chief Executive Officer, Director",2018,
Caterpillar Inc.,CAT,Edward B. Rust,69,Independent Director,2003,
Caterpillar Inc.,CAT,G. Michael Marvel,57,Chief Accounting Officer,2019,
Caterpillar Inc.,CAT,Joseph E. Creed,42,Vice President of Oil Gas and Marine Division,2019,
Caterpillar Inc.,CAT,Juan Gallardo,71,Independent Director,1998,
Caterpillar Inc.,CAT,Karl Weiss,,Vice President of Innovation and Technology Development Division,2019,
Caterpillar Inc.,CAT,Kelly A. Ayotte,51,Independent Director,2017,
Caterpillar Inc.,CAT,Kyle Epley,,Vice President of Finance Services Division,2019,
Caterpillar Inc.,CAT,Marty Haycraft,,Vice President of Caterpillar Rail Division,2019,
Caterpillar Inc.,CAT,Miles D. White,64,Independent Director,2011,
Caterpillar Inc.,CAT,Pablo M Koziner,,Vice President of Electric Power Division,2019,
Caterpillar Inc.,CAT,Ramin Younessi,54,Group President of Construction Industries,2019,
Caterpillar Inc.,CAT,Rayford Wilkins,67,Independent Director,2017,
Caterpillar Inc.,CAT,Susan C. Schwab,64,Independent Director,2009,
Caterpillar Inc.,CAT,Suzette M. Long,53,"General Counsel, Corporate Secretary",2017,
Caterpillar Inc.,CAT,Thomas A. Pellette,56,Senior Vice President of Caterpillar,2019,
Caterpillar Inc.,CAT,Thomas J Bluth,,Vice President - Legal Aftermarket Support,2019,
Caterpillar Inc.,CAT,William A. Osborn,71,Independent Director,2000,
Caterpillar Inc.,CAT,William P. Ainsworth,54,Group President of Energy and Transportation,2019,
Cathay General Bancorp,CATY.O,Anthony M. Tang,65,Vice Chairman of the Board of the Company and the Bank,2014,
Cathay General Bancorp,CATY.O,Chang Ming Liu,52,Executive Vice President and Chief Operating Officer of the Bank,2019,
Cathay General Bancorp,CATY.O,Dunson K. Cheng,74,Executive Chairman of the Board of the Company and the Bank,2016,
Cathay General Bancorp,CATY.O,Felix S. Fernandez,68,Independent Director of the Company and the Bank,2013,
Cathay General Bancorp,CATY.O,Heng W. Chen,66,"Chief Financial Officer, Executive Vice President, Treasurer of the Company and Executive Vice President, Chief Financial Officer of the Bank",2004,
Cathay General Bancorp,CATY.O,Irwin Wong,70,"Senior Executive Vice President, Chief Administrative Officer of the Bank",2019,
Cathay General Bancorp,CATY.O,Jane H. Jelenko,70,Independent Director of the Company and the Bank,2012,
Cathay General Bancorp,CATY.O,Joseph C. H. Poon,72,Independent Director of the Company and the Bank,2011,
Cathay General Bancorp,CATY.O,Kelly L. Chan,72,Independent Director of the Company and the Bank,1990,
Cathay General Bancorp,CATY.O,Kim R. Bingham,62,"Executive Vice President, Chief Risk Officer of the Bank",2014,
Cathay General Bancorp,CATY.O,Lisa L. Kim,,"Executive Vice President, General Counsel, Secretary of Bancorp and Bank",2018,
Cathay General Bancorp,CATY.O,Mark H. Lee,55,Chief Credit Officer of Cathay Bank,2017,
Cathay General Bancorp,CATY.O,Michael M. Y. Chang,81,Independent Director of the Company and the Bank,2010,
Cathay General Bancorp,CATY.O,Nelson Chung,66,Independent Director of the Company and the Bank,2005,
Cathay General Bancorp,CATY.O,Peter Wu,70,Vice Chairman of the Board of the Company and the Bank,2014,
Cathay General Bancorp,CATY.O,Pin Tai,65,"President, Chief Executive Officer, Director",2017,
Cathay General Bancorp,CATY.O,Richard Sun,66,Independent Director of the Company and the Bank,2017,
Cathay General Bancorp,CATY.O,Ting Y. Liu,82,Independent Director of the Company and the Bank,2003,
Cato Corp,CATO.A,Bailey W. Patrick,57,Independent Director,2009,
Cato Corp,CATO.A,Bryan F. Kennedy,61,Lead Independent Director,,
Cato Corp,CATO.A,Daniel Harding Stowe,63,Independent Director,2005,
Cato Corp,CATO.A,Gordon D. Smith,63,"Executive Vice President, Chief Real Estate and Store Development Officer",2011,
Cato Corp,CATO.A,John P. Derham Cato,68,"Chairman of the Board, President, Chief Executive Officer",2004,
Cato Corp,CATO.A,John R. Howe,56,Chief Financial Officer and Executive Vice President,2008,
Cato Corp,CATO.A,Michael T. Greer,56,"Executive Vice President, Director - Stores",2006,
Cato Corp,CATO.A,Pamela Lewis Davies,62,Independent Director,2018,
Cato Corp,CATO.A,Theresa J. Drew,61,Independent Director,2019,
Cato Corp,CATO.A,Thomas B. Henson,64,Independent Director,2011,
Cato Corp,CATO.A,Thomas E. Meckley,74,Independent Director,2009,
"Cavco Industries, Inc.",CVCO.O,Charles E. Lott,71,"President of Fleetwood Homes, Inc",2009,
"Cavco Industries, Inc.",CVCO.O,Daniel L. Urness,50,"Chief Financial Officer, Executive Vice President, Treasurer",2019,
"Cavco Industries, Inc.",CVCO.O,David Alan Greenblatt,57,Independent Director,2008,
"Cavco Industries, Inc.",CVCO.O,Joshua J. Barsetti,39,Chief Accounting Officer,2019,
"Cavco Industries, Inc.",CVCO.O,Julia W. Sze,,Independent Director,2019,
"Cavco Industries, Inc.",CVCO.O,Mickey R. Dragash,49,"Executive Vice President, Chief Compliance Officer, General Counsel, Corporate Secretary",2019,
"Cavco Industries, Inc.",CVCO.O,Richard A. Kerley,68,Independent Director,2019,
"Cavco Industries, Inc.",CVCO.O,Steven G. Bunger,58,Non-Executive Chairman of the Board,2019,
"Cavco Industries, Inc.",CVCO.O,Steven K. Like,62,Senior Vice President,2015,
"Cavco Industries, Inc.",CVCO.O,Steven W. Moster,50,Independent Director,2020,
"Cavco Industries, Inc.",CVCO.O,Susan L. Blount,61,Independent Director,2019,
"Cavco Industries, Inc.",CVCO.O,William C. Boor,53,"President, Chief Executive Officer, Director",2019,
"CBIZ, Inc.",CBZ,Benaree Pratt Wiley,73,Independent Director,2008,
"CBIZ, Inc.",CBZ,Chris Spurio,53,Senior Vice President and President - CBIZ’s Financial Services,2014,
"CBIZ, Inc.",CBZ,Donald V. Weir,77,Independent Director,2003,
"CBIZ, Inc.",CBZ,Gina D. France,60,Independent Director,2015,
"CBIZ, Inc.",CBZ,Jerome P. Grisko,57,"President, Chief Executive Officer, Director",2016,
"CBIZ, Inc.",CBZ,Joseph S. DiMartino,75,Independent Director,1997,
"CBIZ, Inc.",CBZ,Michael H. DeGroote,58,Independent Director,2017,
"CBIZ, Inc.",CBZ,Michael P. Kouzelos,50,President - Benefits and Insurance Services,2015,
"CBIZ, Inc.",CBZ,Michael W. Gleespen,60,"Corporate Secretary, General Counsel",2001,
"CBIZ, Inc.",CBZ,Richard E. Mills,63,Chief Operating Officer - Financial Services,2014,
"CBIZ, Inc.",CBZ,Rick L. Burdick,67,"Independent Non-Executive Vice Chairman of the Board, Lead Director",2007,
"CBIZ, Inc.",CBZ,Sherrill W. Hudson,75,Independent Director,2015,
"CBIZ, Inc.",CBZ,Steven L. Gerard,73,Non-Executive Chairman of the Board,2016,
"CBIZ, Inc.",CBZ,Todd J. Slotkin,66,Independent Director,2003,
"CBIZ, Inc.",CBZ,Ware H. Grove,68,"Chief Financial Officer, Senior Vice President",2000,
"CBL & Associates Properties, Inc.",CBL,A. Larry Chapman,72,Independent Director,2013,
"CBL & Associates Properties, Inc.",CBL,Alan L. Lebovitz,51,Executive Vice President - Management,2017,
"CBL & Associates Properties, Inc.",CBL,Ben S. Landress,91,Executive Vice President - Management,1997,
"CBL & Associates Properties, Inc.",CBL,Carolyn Tiffany,,Director,2019,
"CBL & Associates Properties, Inc.",CBL,Charles B. Lebovitz,82,Chairman of the Board,2010,
"CBL & Associates Properties, Inc.",CBL,Farzana K. Mitchell,67,"Chief Financial Officer, Executive Vice President, Treasurer",2012,
"CBL & Associates Properties, Inc.",CBL,Jeffery V. Curry,58,"Chief Legal Officer, Secretary",2012,
"CBL & Associates Properties, Inc.",CBL,John David Griffith,57,Independent Director,2015,
"CBL & Associates Properties, Inc.",CBL,Kathleen M. Nelson,73,Independent Director,2009,
"CBL & Associates Properties, Inc.",CBL,Kathryn A. Reinsmidt,40,"Executive Vice President, Chief Investment Officer, IR Contact Officer",2017,
"CBL & Associates Properties, Inc.",CBL,Matthew S. Dominski,64,Independent Director,2005,
"CBL & Associates Properties, Inc.",CBL,Michael C. Harrison,50,Executive Vice President - Operations,2017,
"CBL & Associates Properties, Inc.",CBL,Michael I. Lebovitz,55,President,2018,
"CBL & Associates Properties, Inc.",CBL,Michael L. Ashner,63,Director,2019,
"CBL & Associates Properties, Inc.",CBL,Richard J. Lieb,59,Independent Director,2016,
"CBL & Associates Properties, Inc.",CBL,Stephen D. Lebovitz,58,"Chief Executive Officer, Director",2018,
Cboe Global Markets Inc,CBOE.A,Andrew B. Lowenthal,57,"Executive Vice President, Co-Head of Markets Division",2018,
Cboe Global Markets Inc,CBOE.A,Brian N Schell,53,"Chief Financial Officer, Executive Vice President, Treasurer",2018,
Cboe Global Markets Inc,CBOE.A,Bryan Harkins,42,"Executive Vice President, Co-Head of Markets Division",2018,
Cboe Global Markets Inc,CBOE.A,Carole E. Stone,73,Independent Director,2006,
Cboe Global Markets Inc,CBOE.A,Christopher A. Isaacson,40,"Chief Operating Officer, Executive Vice President",2019,
Cboe Global Markets Inc,CBOE.A,David Howson,43,"Executive Vice President, President Europe",2020,
Cboe Global Markets Inc,CBOE.A,Edward J. Fitzpatrick,52,Independent Director,2013,
Cboe Global Markets Inc,CBOE.A,Edward T. Tilly,55,"Chairman of the Board, President, Chief Executive Officer",2019,
Cboe Global Markets Inc,CBOE.A,Eugene S. Sunshine,69,Lead Independent Director,2010,
Cboe Global Markets Inc,CBOE.A,Frank E. English,73,Independent Director,2012,
Cboe Global Markets Inc,CBOE.A,Fredric J. Tomczyk,63,Director,2019,
Cboe Global Markets Inc,CBOE.A,James E. Parisi,54,Independent Director,2018,
Cboe Global Markets Inc,CBOE.A,Janet P. Froetscher,59,Independent Director,2005,
Cboe Global Markets Inc,CBOE.A,Jill E. Sommers,50,Independent Director,2018,
Cboe Global Markets Inc,CBOE.A,Jill Griebenow,39,"Senior Vice President, Chief Accounting Officer",2018,
Cboe Global Markets Inc,CBOE.A,Jill R. Goodman,52,Independent Director,2012,
Cboe Global Markets Inc,CBOE.A,John Deters,48,"Executive Vice President, Chief Strategy Officer and Head of Multi-Asset Solutions",,
Cboe Global Markets Inc,CBOE.A,Joseph P. Ratterman,52,Independent Director,2017,
Cboe Global Markets Inc,CBOE.A,Mark S. Hemsley,56,"Executive Vice President, President Europe",2018,
Cboe Global Markets Inc,CBOE.A,Michael L Richter,71,Independent Director,2017,
Cboe Global Markets Inc,CBOE.A,Patrick Sexton,54,"Executive Vice President, General Counsel and Corporate Secretary",2018,
Cboe Global Markets Inc,CBOE.A,Roderick A. Palmore,67,Independent Director,2000,
Cboe Global Markets Inc,CBOE.A,William M. Farrow,64,Independent Director,2016,
CBRE Group Inc,CBRE.A,Andrew Kupiec,,"Chief Executive Officer, Hana",,
CBRE Group Inc,CBRE.A,Beth Cobert,60,Independent Director,2017,
CBRE Group Inc,CBRE.A,Brandon B. Boze,38,Independent Chairman of the Board,2018,
CBRE Group Inc,CBRE.A,Brian F. Stoffers,,"Global President, Debt & Structured Finance",,
CBRE Group Inc,CBRE.A,Chandra Dhandapani,51,Chief Digital & Technology Officer,2016,
CBRE Group Inc,CBRE.A,Chris Connelly,,"CEO, Americas Advisory Services",,
CBRE Group Inc,CBRE.A,Christopher R. Ludeman,,"Global President, Capital Markets",,
CBRE Group Inc,CBRE.A,Christopher T. Jenny,63,Independent Director,2016,
CBRE Group Inc,CBRE.A,Chuck Leitner,,"Global Chief Executive Officer, CBRE Global Investors",2019,
CBRE Group Inc,CBRE.A,Curtis F. Feeny,61,Independent Director,2006,
CBRE Group Inc,CBRE.A,Daniel G. Queenan,47,"Global CEO, Advisory Services",2020,
CBRE Group Inc,CBRE.A,Dara A Bazzano,50,"Senior Vice President - Global Finance, Chief Accounting Officer",2018,
CBRE Group Inc,CBRE.A,Darcy Mackay,,Chief People Officer,,
CBRE Group Inc,CBRE.A,Emma Buckland,,"Global President, Property Management",2020,
CBRE Group Inc,CBRE.A,Gerardo I. Lopez,59,Independent Director,2015,
CBRE Group Inc,CBRE.A,Ian Entwisle,,"CEO, Global Workplace Solutions, APAC/EMEA",2018,
CBRE Group Inc,CBRE.A,James Christopher Kirk,53,Global Chief Operating Officer,2020,
CBRE Group Inc,CBRE.A,James R. Groch,57,"Global Group President, Chief Investment Officer",2019,
CBRE Group Inc,CBRE.A,Jim Dobleske,,Global President of Project Management,2019,
CBRE Group Inc,CBRE.A,Jim Wilson,,"Americas CEO, Global Workplace Solutions",,
CBRE Group Inc,CBRE.A,John E. Durburg,53,"Global Chief Executive Officer, Global Workplace Solutions",2020,
CBRE Group Inc,CBRE.A,Laura D'Andrea Tyson,71,Independent Director,2010,
CBRE Group Inc,CBRE.A,Laura O'Brien,,"Executive Vice President, Operational Excellence, Advisory Services",,
CBRE Group Inc,CBRE.A,Laurence H. Midler,53,"Executive Vice President, Chief Risk Officer, General Counsel, Secretary",2018,
CBRE Group Inc,CBRE.A,Leah C. Stearns,38,Chief Financial Officer,2019,
CBRE Group Inc,CBRE.A,Martin Samworth,,"Group President and Chief Executive Officer Advisory Services, APAC/EMEA",2019,
CBRE Group Inc,CBRE.A,Matthew S. Khourie,64,Chief Executive Officer of Trammell Crow Company,,
CBRE Group Inc,CBRE.A,Michael J. Lafitte,58,"Global CEO, Real Estate Investments",2020,
CBRE Group Inc,CBRE.A,Paul Steitz,,Chief Strategy Officer,,
CBRE Group Inc,CBRE.A,Raymond E. Wirta,75,Independent Director,2018,
CBRE Group Inc,CBRE.A,Reginald Harold Gilyard,55,Independent Director,2018,
CBRE Group Inc,CBRE.A,Robert E. Sulentic,62,"President, Chief Executive Officer, Director",2012,
CBRE Group Inc,CBRE.A,Sanjiv Yajnik,62,Independent Director,2017,
CBRE Group Inc,CBRE.A,Scott Marshall,,Global Chief Client Officer,,
CBRE Group Inc,CBRE.A,Shira D. Goodman,58,Independent Director,2019,
CBRE Group Inc,CBRE.A,Steven Swerdlow,,Group President,,
CBRE Group Inc,CBRE.A,Thomas Edwards,,"Executive Managing Director, Global Head of Valuation & Advisory Services",,
CBRE Group Inc,CBRE.A,Whitley Collins,,"Global President, Advisory & Transaction Services and Occupier",,
CBRE Group Inc,CBRE.A,William F. Concannon,63,"Global Group President, Clients and Business Partners",2020,
CBTX Inc,CBTX.O,Glen W. Morgan,65,Independent Director,2007,
CBTX Inc,CBTX.O,J. Pat Parsons,70,Vice Chairman of the Board,2013,
CBTX Inc,CBTX.O,Joe E. Penland,68,Independent Director,2007,
CBTX Inc,CBTX.O,John E. Williams,64,Independent Director,2007,
CBTX Inc,CBTX.O,Joseph B. Swinbank,67,Independent Director,2013,
CBTX Inc,CBTX.O,Michael A. Havard,62,Independent Director,2017,
CBTX Inc,CBTX.O,Robert R. Franklin,64,"President, Chief Executive Officer, Chairman of the Board",2013,
CBTX Inc,CBTX.O,Robert T. Pigott,64,Chief Financial Officer,,
CBTX Inc,CBTX.O,Sheila G. Umphrey,79,Independent Director,2017,
CBTX Inc,CBTX.O,Tommy W. Lott,82,Independent Director,2013,
CBTX Inc,CBTX.O,Wayne A. Reaud,71,Independent Director,2007,
CBTX Inc,CBTX.O,William E. Wilson,63,Independent Director,2017,
CDK Global Inc,CDK.O,Amy J. Hillman,54,Independent Director,2014,
CDK Global Inc,CDK.O,Amy W. Byrne,48,"Executive Vice President, Chief Human Resource Officer",2017,
CDK Global Inc,CDK.O,Brian M. Krzanich,59,"President, Chief Executive Officer, Director",2018,
CDK Global Inc,CDK.O,Dean Crutchfield,58,"Executive Vice President, Chief Information Officer",2016,
CDK Global Inc,CDK.O,Eileen J. Voynick,65,Independent Director,2016,
CDK Global Inc,CDK.O,Frank S. Sowinski,63,Independent Director,2014,
CDK Global Inc,CDK.O,Joseph A. Tautges,43,"Executive Vice President, Chief Financial Officer",2017,
CDK Global Inc,CDK.O,Lee J. Brunz,49,"Executive Vice President, General Counsel, Secretary",2017,
CDK Global Inc,CDK.O,Leslie A. Brun,67,Independent Chairman of the Board,2014,
CDK Global Inc,CDK.O,Mahesh Shah,42,"Executive Vice President, Chief Product and Technology Officer",2019,
CDK Global Inc,CDK.O,Neil Packham,48,"President, CDK International",2017,
CDK Global Inc,CDK.O,Robert E. Radway,59,Independent Director,2014,
CDK Global Inc,CDK.O,Stephen A. Miles,51,Independent Director,2014,
CDK Global Inc,CDK.O,Stephen F. Schuckenbrock,59,Independent Director,2016,
CDK Global Inc,CDK.O,Willie A. Deese,64,Independent Director,2014,
CDW Corp,CDW.O,Barry K. Allen,70,Independent Director,2018,
CDW Corp,CDW.O,Benjamin D. Chereskin,60,Independent Director,2013,
CDW Corp,CDW.O,Christina M. Corley,51,Chief Commercial and Operating Officer,2020,
CDW Corp,CDW.O,Christina V. Rother,55,Senior Vice President – Integrated Technology Solutions,2018,
CDW Corp,CDW.O,Christine A. Leahy,54,President and Chief Executive Officer and Director,2019,
CDW Corp,CDW.O,Collin B. Kebo,52,Senior Vice President and Chief Financial Officer,2018,
CDW Corp,CDW.O,David W. Nelms,58,Non-Executive Chairman of the Board,2020,
CDW Corp,CDW.O,Donna F. Zarcone,61,Independent Director,2011,
CDW Corp,CDW.O,Douglas E. Eckrote,54,Senior Vice President - Small Business Sales and E-commerce,2017,
CDW Corp,CDW.O,Elizabeth H. Connelly,54,"Chief Human Resource Officer, Senior Vice President - Coworker Services",2018,
CDW Corp,CDW.O,Frederick J. Kulevich,53,"Senior Vice President, General Counsel and Corporate Secretary",2017,
CDW Corp,CDW.O,James A. Bell,70,Independent Director,2015,
CDW Corp,CDW.O,Jonathan J. Stevens,49,"Senior Vice President - Operations, Chief Information Officer",2009,
CDW Corp,CDW.O,Joseph R. Swedish,67,Independent Director,2015,
CDW Corp,CDW.O,Lynda M. Clarizio,58,Independent Director,2015,
CDW Corp,CDW.O,Mark C. Chong,48,Senior Vice President - Strategy and Marketing,2017,
CDW Corp,CDW.O,Matthew A. Troka,48,Senior Vice President - Product and Partner Management,2011,
CDW Corp,CDW.O,Neil B. Fairfield,,"Vice President, Controller and Chief Accounting Officer",2015,
CDW Corp,CDW.O,Paul J. Finnegan,66,Independent Director,2013,
CDW Corp,CDW.O,Steven W. Alesio,65,Independent Director,2009,
CDW Corp,CDW.O,Virginia C. Addicott,55,Independent Director,2016,
CECO Environmental Corp.,CECE.O,Claudio A. Mannarino,48,Independent Director,2015,
CECO Environmental Corp.,CECE.O,David B. Liner,63,Independent Director,2017,
CECO Environmental Corp.,CECE.O,Dennis Sadlowski,58,"Chief Executive Officer, Director",2018,
CECO Environmental Corp.,CECE.O,Eric Michael Goldberg,49,Independent Director,2013,
CECO Environmental Corp.,CECE.O,Jason Louis DeZwirek,48,Chairman of the Board,2013,
CECO Environmental Corp.,CECE.O,Jonathan M. Pollack,47,"Assistant Secretary, Director",2012,
CECO Environmental Corp.,CECE.O,Matthew Eckl,38,Chief Financial Officer,2017,
CECO Environmental Corp.,CECE.O,Munish Nanda,54,Independent Director,2018,
CECO Environmental Corp.,CECE.O,Paul M. Gohr,37,Chief Accounting Officer,2017,
CECO Environmental Corp.,CECE.O,Valerie Gentile Sachs,63,Independent Director,2016,
Cedar Realty Trust Inc,CDR,Abraham M. Eisenstat,49,Independent Director,2015,
Cedar Realty Trust Inc,CDR,Bruce J. Schanzer,50,"President, Chief Executive Officer, Director",2011,
Cedar Realty Trust Inc,CDR,Gregg A. Gonsalves,51,Independent Director,2017,
Cedar Realty Trust Inc,CDR,Pamela N. Hootkin,71,Independent Director,2008,
Cedar Realty Trust Inc,CDR,Philip R. Mays,51,"Chief Financial Officer, Executive Vice President, Treasurer",2017,
Cedar Realty Trust Inc,CDR,Robin McBride Zeigler,45,"Chief Operating Officer, Executive Vice President",2016,
Cedar Realty Trust Inc,CDR,Roger M. Widmann,79,Non-Executive Independent Chairman of the Board,2011,
Cedar Realty Trust Inc,CDR,Sabrina L. Kanner,61,Independent Director,2018,
Cedar Realty Trust Inc,CDR,Steven G. Rogers,64,Independent Director,2016,
Celanese Corporation,CE,David F. Hoffmeister,64,Independent Director,2016,
Celanese Corporation,CE,Edward G. Galante,68,Lead Independent Director,2016,
Celanese Corporation,CE,Jay V. Ihlenfeld,67,Independent Director,2012,
Celanese Corporation,CE,Jean S. Blackwell,65,Independent Director,2014,
Celanese Corporation,CE,John K. Wulff,70,Independent Director,2006,
Celanese Corporation,CE,Kathryn M. Hill,62,Independent Director,2015,
Celanese Corporation,CE,Kim K.W. Rucker,52,Director,2018,
Celanese Corporation,CE,Lori J. Ryerkerk,56,"President, Chief Executive Officer, Director",2019,
Celanese Corporation,CE,Mark C. Rohr,68,Executive Chairman of the Board,2019,
Celanese Corporation,CE,Scott A. Richardson,42,"Chief Financial Officer, Senior Vice President",2018,
Celanese Corporation,CE,Scott McDougald Sutton,54,Chief Operating Officer,2017,
Celanese Corporation,CE,Shannon L. Jurecka,49,"Chief Human Resource Officer, Senior Vice President",2017,
Celanese Corporation,CE,William M. Brown,56,Independent Director,2016,
Cellular Biomedicine Group Inc,CBMG.O,Andrew K. Chan,61,"Senior Vice President - Corporate Business Development, General Counsel, Chief Legal Officer, Secretary",2018,
Cellular Biomedicine Group Inc,CBMG.O,Chun Kwok Alan Au,46,Independent Director,2014,
Cellular Biomedicine Group Inc,CBMG.O,Darren Michael O'Brien,,Independent Director,2019,
Cellular Biomedicine Group Inc,CBMG.O,Edward T. Schafer,72,Non-Executive Director,2019,
Cellular Biomedicine Group Inc,CBMG.O,Gang Ji,44,Independent Director,2016,
Cellular Biomedicine Group Inc,CBMG.O,Hansheng Zhou,55,Independent Director,2016,
Cellular Biomedicine Group Inc,CBMG.O,Li Helen Zhang,61,Chief Production Officer,2018,
Cellular Biomedicine Group Inc,CBMG.O,Terry A. Belmont,71,Independent Chairman of the Board,2016,
Cellular Biomedicine Group Inc,CBMG.O,Tony Liu,54,"Chief Executive Officer, Chief Financial Officer, Secretary, Director",2016,
Cellular Biomedicine Group Inc,CBMG.O,Wen Tao Liu,63,Independent Director,2018,
